;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
26;124 000 км;Renault Logan I Рестайлинг;315 000 ₽;2011;механика;седан;передний;чёрный;1.6 л/102л.с./Бензин
27;145 000 км;Renault Logan I;289 000 ₽;2009;механика;седан;передний;чёрный;1.6 л/87л.с./Бензин
28;160 119 км;Renault Logan II;449 000 ₽;2015;механика;седан;передний;белый;1.6 л/102л.с./Бензин
29;34 000 км;Renault Logan II;625 000 ₽;2018;автомат;седан;передний;белый;1.6 л/102л.с./Бензин
30;84 км;Renault Logan II Рестайлинг;675 000 ₽;2020;механика;седан;передний;белый;1.6 л/82л.с./Бензин
31;145 950 км;Renault Logan I Рестайлинг;345 000 ₽;2015;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
32;253 000 км;Renault Logan I;110 000 ₽;2006;механика;седан;передний;зелёный;1.4 л/75л.с./Бензин
33;145 км;Renault Logan II Рестайлинг;815 000 ₽;2020;автомат;седан;передний;белый;1.6 л/102л.с./Бензин
34;15 000 км;Renault Logan II Рестайлинг;728 000 ₽;2019;автомат;седан;передний;белый;1.6 л/102л.с./Бензин
35;269 300 км;Renault Logan I;235 000 ₽;2008;механика;седан;передний;синий;1.4 л/75л.с./Бензин
36;50 000 км;Renault Logan I;378 000 ₽;2008;механика;седан;передний;серый;1.4 л/75л.с./Бензин
37;251 000 км;Renault Logan I;200 000 ₽;2007;механика;седан;передний;серый;1.4 л/75л.с./Бензин
38;220 000 км;Renault Logan I Рестайлинг;220 000 ₽;2011;механика;седан;передний;бежевый;1.4 л/75л.с./Бензин
39;86 000 км;Renault Logan I Рестайлинг;350 000 ₽;2013;механика;седан;передний;белый;1.4 л/75л.с./Бензин
40;419 000 км;Renault Logan I;175 000 ₽;2005;механика;седан;передний;синий;1.4 л/75л.с./Бензин
41;91 050 км;Renault Logan II;537 000 ₽;2018;механика;седан;передний;серебристый;1.6 л/82л.с./Бензин
42;119 579 км;Renault Logan I Рестайлинг;339 000 ₽;2013;механика;седан;передний;серый;1.4 л/75л.с./Бензин
43;200 000 км;Renault Logan I Рестайлинг;289 000 ₽;2014;механика;седан;передний;серебристый;1.6 л/84л.с./Бензин
44;186 000 км;Renault Logan I;168 000 ₽;2007;механика;седан;передний;синий;1.4 л/75л.с./Бензин
45;28 000 км;Renault Logan II;591 900 ₽;2015;робот;седан;передний;чёрный;1.6 л/82л.с./Бензин
46;78 000 км;Renault Logan II;515 000 ₽;2015;механика;седан;передний;чёрный;1.6 л/82л.с./Бензин
47;240 000 км;Renault Logan I;248 000 ₽;2006;механика;седан;передний;серебристый;1.6 л/87л.с./Бензин
48;59 000 км;Renault Logan II Рестайлинг;579 000 ₽;2018;механика;седан;передний;белый;1.6 л/82л.с./Бензин
49;81 000 км;Renault Logan I Рестайлинг;365 000 ₽;2013;механика;седан;передний;чёрный;1.6 л/84л.с./Бензин
50;181 000 км;Renault Logan I Рестайлинг;306 000 ₽;2014;механика;седан;передний;синий;1.6 л/102л.с./Бензин
51;54 000 км;Renault Logan II;600 000 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
52;122 000 км;Renault Logan I Рестайлинг;349 777 ₽;2013;автомат;седан;передний;бежевый;1.6 л/103л.с./Бензин
53;317 000 км;Renault Logan II;420 000 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
54;194 406 км;Renault Logan I Рестайлинг;199 000 ₽;2011;механика;седан;передний;синий;1.6 л/102л.с./Бензин
55;190 000 км;Renault Logan I;279 000 ₽;2009;механика;седан;передний;чёрный;1.6 л/87л.с./Бензин
56;112 000 км;Renault Logan I Рестайлинг;290 000 ₽;2011;механика;седан;передний;синий;1.6 л/84л.с./Бензин
57;280 000 км;Renault Logan I;210 000 ₽;2007;механика;седан;передний;серый;1.4 л/75л.с./Бензин
58;36 000 км;Renault Logan II;510 000 ₽;2016;механика;седан;передний;голубой;1.6 л/82л.с./Бензин
59;54 300 км;Renault Logan I Рестайлинг;370 000 ₽;2014;механика;седан;передний;бежевый;1.6 л/84л.с./Бензин
60;9 568 км;Renault Logan II Рестайлинг;615 000 ₽;2019;механика;седан;передний;белый;1.6 л/82л.с./Бензин
61;4 500 км;Renault Logan II;570 000 ₽;2014;механика;седан;передний;синий;1.6 л/82л.с./Бензин
62;26 000 км;Renault Logan II Рестайлинг;629 000 ₽;2018;автомат;седан;передний;белый;1.6 л/102л.с./Бензин
63;142 300 км;Renault Logan I Рестайлинг;290 000 ₽;2014;механика;седан;передний;синий;1.4 л/75л.с./Бензин
64;243 000 км;Renault Logan I Рестайлинг;300 000 ₽;2012;механика;седан;передний;белый;1.4 л/75л.с./Бензин
65;142 000 км;Renault Logan I Рестайлинг;250 000 ₽;2009;механика;седан;передний;красный;1.6 л/84л.с./Бензин
66;195 000 км;Renault Logan I;230 000 ₽;2007;механика;седан;передний;серый;1.6 л/87л.с./Бензин
67;330 000 км;Renault Logan I Рестайлинг;330 000 ₽;2014;механика;седан;передний;белый;1.4 л/75л.с./Бензин
68;112 000 км;Renault Logan II;516 000 ₽;2014;механика;седан;передний;серебристый;1.6 л/102л.с./Бензин
69;106 993 км;Renault Logan I Рестайлинг;410 000 ₽;2014;механика;седан;передний;чёрный;1.6 л/84л.с./Бензин
70;42 076 км;Renault Logan II Рестайлинг Stepway;740 000 ₽;2019;механика;седан;передний;коричневый;1.6 л/82л.с./Бензин
71;291 000 км;Renault Logan I;150 000 ₽;2007;механика;седан;передний;голубой;1.4 л/75л.с./Бензин
72;81 400 км;Renault Logan II;410 000 ₽;2014;механика;седан;передний;синий;1.6 л/82л.с./Бензин
73;81 359 км;Renault Logan I;317 000 ₽;2009;механика;седан;передний;серый;1.6 л/87л.с./Бензин
74;122 339 км;Renault Logan I Рестайлинг;340 000 ₽;2012;механика;седан;передний;синий;1.6 л/84л.с./Бензин
75;22 000 км;Renault Logan II Рестайлинг;675 000 ₽;2019;механика;седан;передний;серый;1.6 л/82л.с./Бензин
76;65 000 км;Renault Logan I Рестайлинг;349 500 ₽;2011;механика;седан;передний;синий;1.6 л/84л.с./Бензин
77;183 000 км;Renault Logan I Рестайлинг;285 000 ₽;2010;механика;седан;передний;серый;1.6 л/102л.с./Бензин
78;193 689 км;Renault Logan I;205 000 ₽;2007;механика;седан;передний;синий;1.6 л/87л.с./Бензин
79;147 150 км;Renault Logan I Рестайлинг;339 999 ₽;2013;механика;седан;передний;белый;1.4 л/75л.с./Бензин
80;100 681 км;Renault Logan I Рестайлинг;320 000 ₽;2011;механика;седан;передний;синий;1.4 л/75л.с./Бензин
81;302 661 км;Renault Logan II;370 000 ₽;2016;механика;седан;передний;белый;1.6 л/82л.с./Бензин
82;60 904 км;Renault Logan II;555 000 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
83;278 800 км;Renault Logan I Рестайлинг;340 000 ₽;2011;механика;седан;передний;серый;1.6 л/84л.с./Бензин
84;51 000 км;Renault Logan I;285 000 ₽;2009;механика;седан;передний;серый;1.4 л/75л.с./Бензин
85;46 000 км;Renault Logan II;480 000 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
86;29 000 км;Renault Logan II;550 000 ₽;2018;механика;седан;передний;белый;1.6 л/82л.с./Бензин
87;90 000 км;Renault Logan I Рестайлинг;290 000 ₽;2014;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
88;90 772 км;Renault Logan II;570 000 ₽;2017;механика;седан;передний;чёрный;1.6 л/113л.с./Бензин
89;26 000 км;Renault Logan II Рестайлинг Stepway;830 000 ₽;2019;механика;седан;передний;бежевый;1.6 л/113л.с./Бензин
90;Новый;Renault Logan II Рестайлинг;от 792 000 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
91;Новый;Renault Logan II Рестайлинг;от 744 000 ₽;2021;механика;седан;передний;Life;1.6 л/82л.с./Бензин
92;92 000 км;Renault Logan I Рестайлинг;315 000 ₽;2011;механика;седан;передний;бежевый;1.4 л/75л.с./Бензин
93;43 823 км;Renault Logan I;293 000 ₽;2007;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
94;101 901 км;Renault Logan II;499 000 ₽;2014;механика;седан;передний;белый;1.6 л/82л.с./Бензин
95;150 000 км;Renault Logan I Рестайлинг;245 000 ₽;2010;механика;седан;передний;синий;1.4 л/75л.с./Бензин
96;Новый;Renault Logan II Рестайлинг Stepway;от 793 000 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
97;146 000 км;Renault Logan I Рестайлинг;312 000 ₽;2011;автомат;седан;передний;бежевый;1.6 л/103л.с./Бензин
98;190 000 км;Renault Logan I Рестайлинг;260 000 ₽;2010;механика;седан;передний;серый;1.4 л/75л.с./Бензин
99;192 000 км;Renault Logan II;460 000 ₽;2014;механика;седан;передний;белый;1.6 л/82л.с./Бензин
100;30 000 км;Renault Logan II Рестайлинг;820 000 ₽;2019;автомат;седан;передний;серебристый;1.6 л/102л.с./Бензин
101;5 000 км;Renault Logan II Рестайлинг Stepway;799 000 ₽;2018;вариатор;седан;передний;красный;1.6 л/113л.с./Бензин
102;146 255 км;Renault Logan I Рестайлинг;289 000 ₽;2011;механика;седан;передний;синий;1.4 л/75л.с./Бензин
103;244 700 км;Renault Logan I Рестайлинг;250 000 ₽;2010;механика;седан;передний;чёрный;1.6 л/84л.с./Бензин
104;510 000 км;Renault Logan I;140 000 ₽;2006;механика;седан;передний;зелёный;1.6 л/87л.с./Бензин
105;Новый;Renault Logan II Рестайлинг Stepway;от 796 577 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/113л.с./Бензин
106;28 000 км;Renault Logan II;638 000 ₽;2015;механика;седан;передний;серебристый;1.6 л/82л.с./Бензин
107;225 000 км;Renault Logan I Рестайлинг;273 000 ₽;2013;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
108;400 000 км;Renault Logan I Рестайлинг;215 000 ₽;2012;механика;седан;передний;белый;1.4 л/75л.с./Бензин
109;68 000 км;Renault Logan II;505 000 ₽;2017;механика;седан;передний;чёрный;1.6 л/113л.с./Бензин
110;201 300 км;Renault Logan I Рестайлинг;185 000 ₽;2012;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
111;Новый;Renault Logan II Рестайлинг Stepway;от 762 987 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/82л.с./Бензин
112;112 524 км;Renault Logan II;445 000 ₽;2015;робот;седан;передний;белый;1.6 л/82л.с./Бензин
113;85 000 км;Renault Logan II;455 000 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
114;232 000 км;Renault Logan I;219 000 ₽;2008;механика;седан;передний;серый;1.4 л/75л.с./Бензин
115;173 000 км;Renault Logan I Рестайлинг;305 000 ₽;2010;механика;седан;передний;серебристый;1.6 л/84л.с./Бензин
116;133 000 км;Renault Logan I;220 000 ₽;2008;механика;седан;передний;белый;1.4 л/75л.с./Бензин
117;Новый;Renault Logan II Рестайлинг Stepway;855 000 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/82л.с./Бензин
118;150 981 км;Renault Logan I Рестайлинг;280 000 ₽;2011;механика;седан;передний;белый;1.4 л/75л.с./Бензин
119;296 000 км;Renault Logan I;280 000 ₽;2005;механика;седан;передний;чёрный;1.6 л/87л.с./Бензин
120;51 000 км;Renault Logan II;655 000 ₽;2017;механика;седан;передний;чёрный;1.6 л/82л.с./Бензин
121;195 000 км;Renault Logan I;230 000 ₽;2008;механика;седан;передний;серый;1.6 л/87л.с./Бензин
122;132 000 км;Renault Logan I;250 000 ₽;2009;механика;седан;передний;серебристый;1.6 л/87л.с./Бензин
123;200 000 км;Renault Logan I;350 000 ₽;2008;механика;седан;передний;серебристый;1.6 л/87л.с./Бензин
124;353 637 км;Renault Logan I;180 000 ₽;2006;механика;седан;передний;синий;1.6 л/87л.с./Бензин
125;132 000 км;Renault Logan I Рестайлинг;295 000 ₽;2010;механика;седан;передний;чёрный;1.6 л/84л.с./Бензин
126;163 000 км;Renault Logan I Рестайлинг;265 000 ₽;2011;механика;седан;передний;чёрный;1.6 л/84л.с./Бензин
127;169 780 км;Renault Logan I;300 000 ₽;2007;механика;седан;передний;серый;1.6 л/87л.с./Бензин
128;21 000 км;Renault Logan II Рестайлинг;710 000 ₽;2018;механика;седан;передний;коричневый;1.6 л/113л.с./Бензин
129;106 706 км;Renault Logan II;539 000 ₽;2014;механика;седан;передний;серебристый;1.6 л/82л.с./Бензин
130;115 000 км;Renault Logan I Рестайлинг;210 000 ₽;2009;механика;седан;передний;красный;1.4 л/75л.с./Бензин
131;114 766 км;Renault Logan I Рестайлинг;357 000 ₽;2012;механика;седан;передний;красный;1.6 л/84л.с./Бензин
132;218 882 км;Renault Logan I Рестайлинг;275 000 ₽;2011;механика;седан;передний;синий;1.6 л/84л.с./Бензин
133;26 550 км;Renault Logan II;745 000 ₽;2018;механика;седан;передний;чёрный;1.6 л/82л.с./Бензин
134;150 000 км;Renault Logan I;220 000 ₽;2006;механика;седан;передний;серый;1.4 л/75л.с./Бензин
135;400 200 км;Renault Logan I;190 000 ₽;2007;механика;седан;передний;синий;1.6 л/87л.с./Бензин
136;149 060 км;Renault Logan II;530 000 ₽;2013;механика;седан;передний;белый;1.5 л/90л.с./Дизель
137;256 000 км;Renault Logan I;220 000 ₽;2008;механика;седан;передний;серый;1.6 л/87л.с./Бензин
138;117 000 км;Renault Logan I Рестайлинг;270 000 ₽;2012;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
139;200 000 км;Renault Logan II;470 000 ₽;2018;механика;седан;передний;белый;1.6 л/82л.с./Бензин
140;87 000 км;Renault Logan II;425 000 ₽;2014;механика;седан;передний;белый;1.6 л/82л.с./Бензин
141;450 000 км;Renault Logan I;155 000 ₽;2006;механика;седан;передний;чёрный;1.6 л/87л.с./Бензин
142;184 000 км;Renault Logan I Рестайлинг;280 000 ₽;2011;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
143;135 000 км;Renault Logan I Рестайлинг;190 000 ₽;2011;механика;седан;передний;серебристый;1.4 л/75л.с./Бензин
144;58 000 км;Renault Logan II Рестайлинг;777 000 ₽;2018;автомат;седан;передний;коричневый;1.6 л/102л.с./Бензин
145;99 886 км;Renault Logan II;485 000 ₽;2014;механика;седан;передний;серебристый;1.6 л/82л.с./Бензин
146;146 500 км;Renault Logan I Рестайлинг;350 000 ₽;2013;механика;седан;передний;серебристый;1.6 л/102л.с./Бензин
147;180 573 км;Renault Logan I Рестайлинг;298 000 ₽;2010;механика;седан;передний;синий;1.6 л/84л.с./Бензин
148;360 000 км;Renault Logan I Рестайлинг;140 000 ₽;2009;механика;седан;передний;белый;1.4 л/75л.с./Бензин
149;65 000 км;Renault Logan I Рестайлинг;409 000 ₽;2014;механика;седан;передний;белый;1.4 л/75л.с./Бензин
150;167 000 км;Renault Logan I;242 000 ₽;2007;механика;седан;передний;серый;1.6 л/87л.с./Бензин
151;177 000 км;Renault Logan I;195 000 ₽;2006;механика;седан;передний;серый;1.4 л/75л.с./Бензин
152;205 000 км;Renault Logan I Рестайлинг;250 000 ₽;2009;механика;седан;передний;серый;1.4 л/75л.с./Бензин
153;54 000 км;Renault Logan II Рестайлинг;675 000 ₽;2018;механика;седан;передний;белый;1.6 л/82л.с./Бензин
154;91 000 км;Renault Logan II;450 000 ₽;2015;механика;седан;передний;белый;1.6 л/82л.с./Бензин
155;599 814 км;Renault Logan I Рестайлинг;140 000 ₽;2013;механика;седан;передний;белый;1.4 л/75л.с./Бензин
156;111 341 км;Renault Logan I;279 000 ₽;2008;механика;седан;передний;зелёный;1.4 л/75л.с./Бензин
157;19 404 км;Renault Logan II;629 000 ₽;2016;механика;седан;передний;бежевый;1.6 л/82л.с./Бензин
158;57 325 км;Renault Logan II;539 000 ₽;2014;механика;седан;передний;красный;1.6 л/82л.с./Бензин
159;120 000 км;Renault Logan I Рестайлинг;399 000 ₽;2014;механика;седан;передний;бежевый;1.6 л/84л.с./Бензин
160;223 000 км;Renault Logan I;185 000 ₽;2007;механика;седан;передний;серый;1.4 л/75л.с./Бензин
161;200 000 км;Renault Logan I;195 000 ₽;2006;механика;седан;передний;синий;1.6 л/87л.с./Бензин
162;80 000 км;Renault Logan I Рестайлинг;280 000 ₽;2015;механика;седан;передний;белый;1.4 л/75л.с./Бензин
163;220 000 км;Renault Logan II;350 000 ₽;2014;механика;седан;передний;белый;1.6 л/82л.с./Бензин
164;117 000 км;Renault Logan I Рестайлинг;280 000 ₽;2011;механика;седан;передний;чёрный;1.6 л/84л.с./Бензин
165;2 000 км;Renault Logan II Рестайлинг;630 000 ₽;2020;механика;седан;передний;белый;1.6 л/82л.с./Бензин
166;107 000 км;Renault Logan I Рестайлинг;250 000 ₽;2011;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
167;241 000 км;Renault Logan I;195 000 ₽;2006;механика;седан;передний;серый;1.4 л/75л.с./Бензин
168;135 000 км;Renault Logan II Рестайлинг;455 000 ₽;2018;механика;седан;передний;бежевый;1.6 л/82л.с./Бензин
169;60 374 км;Renault Logan II;469 000 ₽;2015;механика;седан;передний;белый;1.6 л/82л.с./Бензин
170;45 497 км;Renault Logan II;499 000 ₽;2014;механика;седан;передний;белый;1.6 л/82л.с./Бензин
171;76 000 км;Renault Logan I Рестайлинг;359 000 ₽;2011;механика;седан;передний;синий;1.6 л/84л.с./Бензин
172;189 232 км;Renault Logan II;390 970 ₽;2014;механика;седан;передний;белый;1.6 л/82л.с./Бензин
173;Новый;Renault Logan II Рестайлинг Stepway;972 000 ₽;2021;механика;седан;передний;Stepway Drive;1.6 л/113л.с./Бензин
174;Новый;Renault Logan II Рестайлинг;698 000 ₽;2021;механика;седан;передний;Access;1.6 л/82л.с./Бензин
175;Новый;Renault Logan II Рестайлинг Stepway;885 000 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/113л.с./Бензин
176;113 348 км;Renault Logan II;399 000 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
177;12 120 км;Renault Logan II Рестайлинг Stepway;870 000 ₽;2019;вариатор;седан;передний;пурпурный;1.6 л/113л.с./Бензин
178;Новый;Renault Logan II Рестайлинг;от 647 920 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
179;Новый;Renault Logan II Рестайлинг Stepway;от 927 000 ₽;2020;вариатор;седан;передний;Stepway Life City;1.6 л/113л.с./Бензин
180;Новый;Renault Logan II Рестайлинг;от 773 000 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
181;228 900 км;Renault Logan I Рестайлинг;300 000 ₽;2010;механика;седан;передний;бежевый;1.4 л/75л.с./Бензин
182;Новый;Renault Logan II Рестайлинг;от 647 920 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
183;190 800 км;Renault Logan I;210 000 ₽;2008;механика;седан;передний;синий;1.4 л/75л.с./Бензин
184;Новый;Renault Logan II Рестайлинг;от 639 420 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
185;Новый;Renault Logan II Рестайлинг;от 651 920 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
186;197 000 км;Renault Logan I;220 000 ₽;2007;механика;седан;передний;серый;1.6 л/87л.с./Бензин
187;Новый;Renault Logan II Рестайлинг;от 647 920 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
188;Новый;Renault Logan II Рестайлинг;от 641 920 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
189;39 500 км;Renault Logan II;550 000 ₽;2015;механика;седан;передний;белый;1.6 л/82л.с./Бензин
190;89 417 км;Renault Logan II;510 000 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
191;Новый;Renault Logan II Рестайлинг;от 644 420 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
192;Новый;Renault Logan II Рестайлинг Stepway;от 699 300 ₽;2020;механика;седан;передний;Stepway Life;1.6 л/113л.с./Бензин
193;Новый;Renault Logan II Рестайлинг;от 644 420 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
194;57 721 км;Renault Logan II;599 000 ₽;2017;механика;седан;передний;синий;1.6 л/82л.с./Бензин
195;Новый;Renault Logan II Рестайлинг;от 638 420 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
196;Новый;Renault Logan II Рестайлинг;от 641 920 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
197;70 688 км;Renault Logan II;719 000 ₽;2017;механика;седан;передний;синий;1.6 л/82л.с./Бензин
198;29 000 км;Renault Logan II;295 000 ₽;2017;механика;седан;передний;белый;1.6 л/113л.с./Бензин
199;185 000 км;Renault Logan I;299 000 ₽;2008;механика;седан;передний;серый;1.6 л/87л.с./Бензин
200;161 815 км;Renault Logan I;289 000 ₽;2008;механика;седан;передний;синий;1.6 л/87л.с./Бензин
201;40 000 км;Renault Logan II Рестайлинг;550 000 ₽;2018;автомат;седан;передний;белый;1.6 л/102л.с./Бензин
202;260 000 км;Renault Logan I Рестайлинг;299 999 ₽;2010;механика;седан;передний;серый;1.6 л/84л.с./Бензин
203;180 720 км;Renault Logan I Рестайлинг;352 000 ₽;2011;механика;седан;передний;чёрный;1.6 л/84л.с./Бензин
204;184 000 км;Renault Logan I Рестайлинг;330 000 ₽;2010;механика;седан;передний;серый;1.6 л/84л.с./Бензин
205;135 000 км;Renault Logan I Рестайлинг;250 000 ₽;2013;механика;седан;передний;белый;1.6 л/84л.с./Бензин
206;60 000 км;Renault Logan II;580 000 ₽;2017;механика;седан;передний;чёрный;1.6 л/82л.с./Бензин
207;125 000 км;Renault Logan I;275 000 ₽;2006;механика;седан;передний;зелёный;1.6 л/87л.с./Бензин
208;330 000 км;Renault Logan I;210 000 ₽;2006;механика;седан;передний;серый;1.6 л/87л.с./Бензин
209;110 252 км;Renault Logan II;499 000 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
210;216 926 км;Renault Logan I;245 000 ₽;2005;механика;седан;передний;зелёный;1.4 л/75л.с./Бензин
211;32 325 км;Renault Logan II;620 000 ₽;2018;механика;седан;передний;чёрный;1.6 л/82л.с./Бензин
212;113 000 км;Renault Logan I Рестайлинг;345 000 ₽;2011;механика;седан;передний;бежевый;1.6 л/84л.с./Бензин
213;95 287 км;Renault Logan I Рестайлинг;299 000 ₽;2010;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
214;220 000 км;Renault Logan I;133 000 ₽;2008;механика;седан;передний;синий;1.4 л/75л.с./Бензин
215;249 000 км;Renault Logan II;450 000 ₽;2014;механика;седан;передний;красный;1.6 л/82л.с./Бензин
216;170 000 км;Renault Logan I Рестайлинг;250 000 ₽;2011;механика;седан;передний;белый;1.4 л/75л.с./Бензин
217;105 000 км;Renault Logan II;460 000 ₽;2015;автомат;седан;передний;белый;1.6 л/102л.с./Бензин
218;31 000 км;Renault Logan II;638 000 ₽;2016;механика;седан;передний;синий;1.6 л/82л.с./Бензин
219;102 000 км;Renault Logan II;428 000 ₽;2015;механика;седан;передний;синий;1.6 л/82л.с./Бензин
220;123 000 км;Renault Logan I Рестайлинг;360 000 ₽;2013;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
221;156 000 км;Renault Logan I;240 000 ₽;2007;механика;седан;передний;синий;1.6 л/87л.с./Бензин
222;Новый;Renault Logan II Рестайлинг Stepway;893 000 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/113л.с./Бензин
223;Новый;Renault Logan II Рестайлинг Stepway;от 753 637 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/82л.с./Бензин
224;56 000 км;Renault Logan II;499 000 ₽;2017;механика;седан;передний;серебристый;1.6 л/82л.с./Бензин
225;74 000 км;Renault Logan I Рестайлинг;330 000 ₽;2013;механика;седан;передний;белый;1.4 л/75л.с./Бензин
226;Новый;Renault Logan II Рестайлинг Stepway;889 000 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/113л.с./Бензин
227;133 000 км;Renault Logan I;170 000 ₽;2006;механика;седан;передний;зелёный;1.4 л/75л.с./Бензин
228;74 999 км;Renault Logan II;510 000 ₽;2014;механика;седан;передний;синий;1.6 л/102л.с./Бензин
229;220 000 км;Renault Logan I;132 000 ₽;2005;механика;седан;передний;серый;1.4 л/75л.с./Бензин
230;68 000 км;Renault Logan I;299 000 ₽;2008;механика;седан;передний;серый;1.4 л/75л.с./Бензин
231;113 305 км;Renault Logan II;550 000 ₽;2014;механика;седан;передний;чёрный;1.6 л/82л.с./Бензин
